URL,Filters,,,,,,,,,,,,,,
https://app.dealroom.co/investors/f/all_slug_locations/anyof_~united_states~/company_status/not_closed/investor_type/anyof_accelerator?selectedColumns=name%2CpreferredRound%2ChqLocations%2CdealSizeEnhanced%2CinvestorNumberOfRoundsIndustry%2CinvestorTotalFundingEnhanced%2CinvestorPorfolioSize%2CinvestmentsValuationEnhanced%2Cinvestments%2CinvestorExitsNum%2CinvestorExitScore%2CinvestorExitsFundingEnhanced%2ClpInvestmentsNum%2ClpInvestments&sort=-rounds_count_12_months&investorNumberOfRoundsIndustry=rounds_count_12_months&heatMapType=&groupId=1413&id=92070,Include All locations: United states; Investor type: Accelerator; Exclude Company status: Closed,,,,,,,,,,,,,,
ID,Type,Dealroom URL,Website,Name,HQ region,HQ country,HQ city,Sectors of focus,Launch year,Last round date,Portfolio size,Rounds number (12 months),Exits total (USD M),Exits number,Total value of current portfolio (USD M)
1357731,accelerator,https://app.dealroom.co/investors/pioneer_square_labs,http://psl.com,Pioneer Square Labs,North America,United States,Seattle,,2015,May/2026,24,5,,0,911.88
880866,accelerator,https://app.dealroom.co/investors/microsoft_accelerator,https://startups.microsoft.com/,Microsoft for Startups,North America,United States,Redmond,,2018,Aug/2026,353,6,1773.6,0,15424.67
6613563,accelerator,https://app.dealroom.co/investors/pinnacle_atlanta_innovation_accelerator,https://www.gener8tor.com/investment-accelerators/pinnacle-atlanta-innovation,Pinnacle Atlanta Innovation Accelerator,North America,United States,Atlanta,b corp,2025,Oct/2025,5,5,,,2
3085811,accelerator,https://app.dealroom.co/investors/untapped_ventures,http://untapped.ventures,Untapped Ventures,North America,United States,Los Angeles,,2020,Aug/2026,8,5,,,407.77
1842387,accelerator,https://app.dealroom.co/investors/mit_solve,https://solve.mit.edu/,MIT Solve,North America,United States,Cambridge,,,May/2026,14,5,,,857.85
1747387,accelerator,https://app.dealroom.co/investors/google_for_startups,https://startup.google.com/,Google for Startups Accelerator,North America,United States,San Francisco,,2011,Jun/2026,3006,5,9448.37,0,120642.86
911157,accelerator,https://app.dealroom.co/investors/43north,http://www.43north.org/,43North,North America,United States,Buffalo,,2014,Oct/2025,81,5,431.5,0,1551.67
873367,accelerator,https://app.dealroom.co/investors/entrepreneurs_roundtable_accelerator,http://eranyc.com,Entrepreneurs Roundtable Accelerator,North America,United States,Town of Islip,,2011,Aug/2026,304,5,1735,0,4281.97
6783981,accelerator,https://app.dealroom.co/investors/steelworks_health_accelerator,https://www.unemed.com/steel-works-health-accelerator,Steelworks Health Accelerator,North America,United States,Omaha,,2026,Mar/2026,4,4,,,
3804334,accelerator,https://app.dealroom.co/investors/builders_vision,https://www.buildersvision.com/,Builders Vision,North America,United States,Chicago,,,Aug/2026,21,4,,,1995.06
3220593,accelerator,https://app.dealroom.co/investors/peachscore,http://peachscore.com,Peachscore,North America,United States,Los Angeles,,2020,Mar/2026,14,3,,,78.41
3103302,accelerator,https://app.dealroom.co/investors/afwerx_1,http://afwerx.com,AFWERX,North America,United States,Washington DC,,2017,Jul/2026,51,4,,0,20687.58
3046275,accelerator,https://app.dealroom.co/investors/gold_house,http://goldhouse.org,Gold House Ventures,North America,United States,Los Angeles,,2017,May/2026,88,3,95,0,7313.04
2967066,accelerator,https://app.dealroom.co/investors/activate_org,https://www.activate.org/,Activate,North America,United States,Berkeley,,2016,Jul/2026,12,2,,,171.84
2084232,accelerator,https://app.dealroom.co/investors/nec_x,http://nec-x.com,NEC X,North America,United States,Palo Alto,,2018,Feb/2026,16,3,,,95.65
1838281,accelerator,https://app.dealroom.co/investors/luminate_accelerator,https://luminate.org/,Luminate Accelerator,North America,United States,Rochester,,2017,Oct/2025,81,4,,0,838.97
1743670,accelerator,https://app.dealroom.co/investors/svg_ventures,http://svgventures.com/,SVG Ventures,North America,United States,Los Gatos,,2010,Feb/2026,75,2,,0,1294.86
1232543,accelerator,https://app.dealroom.co/investors/the_warehouse_business_accelerator,http://warehouseinnovation.com,The Warehouse Business Accelerator,North America,United States,Loveland,,2013,May/2026,30,4,,,84.04
131271,accelerator,https://app.dealroom.co/investors/the_yield_lab,http://theyieldlab.com,The Yield Lab,North America,United States,Creve Coeur,eit kic partners,2017,Mar/2026,94,4,,0,1549.29
3103,accelerator,https://app.dealroom.co/investors/startupbootcamp,http://www.startupbootcamp.org,Startupbootcamp,Europe,Netherlands,Amsterdam,3d printing;biomedical,2010,Jun/2026,1297,3,1768.86,0,7932.58
5555609,accelerator,https://app.dealroom.co/investors/labstart_1,https://labstart.co,LabStart,North America,United States,Denver,,2020,Jan/2026,15,3,,,6
5030626,accelerator,https://app.dealroom.co/investors/thrive_agrifood,https://thriveagrifood.com,SVG Ventures | THRIVE,North America,United States,Los Gatos,,,Aug/2026,101,3,,0,975.07
4130387,accelerator,https://app.dealroom.co/investors/insurtech_ny,https://www.insurtechny.com/,InsurTech NY,North America,United States,New York City,,2019,Nov/2025,10,2,,,134.85
3867645,accelerator,https://app.dealroom.co/investors/nvidia_inception,https://www.nvidia.com/en-eu/startups/,Nvidia Inception,North America,United States,Santa Clara,data centers,,May/2026,706,2,5839.38,0,151038.37
3105145,accelerator,https://app.dealroom.co/investors/z_fellows,http://zfellows.com,Z Fellows,North America,United States,San Francisco,,2021,Aug/2026,15,3,,,309.6
