name,website,domain,cohort,state,sector
AMIGA PET,http://www.amigapet.com.br,amigapet.com.br,2024.2,São Paulo,Pet
AmplyCode,http://amplycode.tech,amplycode.tech,2024.2,Minas Gerais,Agronegócio
Aqui Brasil,http://www.aquibrasil.com.br,aquibrasil.com.br,2024.2,Bahia,Cosméticos
AYA SAÚDE,http://www.ayasaude.com.br,ayasaude.com.br,2024.2,Ceará,Saúde
Bespoke,https://bespokestore.com.br/pages/quem-somos,bespokestore.com.br,2024.2,Pernambuco,Vestuário
BID365 Leilões Virtuais,https://leilao.bid365.app/,leilao.bid365.app,2024.2,Tocantins,Agronegócio
Bodymetrycs,http://bodymetrycs.com,bodymetrycs.com,2024.2,Minas Gerais,Saúde
Cangaço Tech,http://cangacotech.com,cangacotech.com,2024.2,Paraíba,Marketing e Mídia
Cãomigo,http://www.caomigo.com.br,caomigo.com.br,2024.2,Paraná,Pet
Carimbado,https://www.carimbado.com/,carimbado.com,2024.2,Rio Grande do Sul,Tecnologia da Informação e Comunicação
carristas,http://www.carristas.com.br,carristas.com.br,2024.2,Distrito Federal,Automóveis
ComPre - Comercialização de Precatórios,http://www.comprecatorios.com.br,comprecatorios.com.br,2024.2,Distrito Federal,Setor financeiro
Conexia - Mentoria Gestão e Compartilhamento do Conhecimento,https://conexia.club,conexia.club,2024.2,São Paulo,Recursos Humanos
Cool Tea Company,https://www.instagram.com/coolteacompany/?hl=pt-br,instagram.com,2024.2,Rio Grande do Sul,Saúde
Cris+club,http://www.crisclub.com,crisclub.com,2024.2,Rio de Janeiro,Tecnologias Sustentáveis e Verdes
Data4Company,https://www.data4company.com.br/,data4company.com.br,2024.2,Rio Grande do Sul,Tecnologia da Informação e Comunicação
DesenvolveX: Startup com foco em inovação social.,https://desenvolvex.com/,desenvolvex.com,2024.2,Rio Grande do Sul,Outros serviços
DIligo,http://www.diligo.com.br,diligo.com.br,2024.2,Santa Catarina,Varejo
Dinda Shop,http://www.dindashop.com.br/,dindashop.com.br,2024.2,São Paulo,Eventos
DocMap,http://www.doc-map.com,doc-map.com,2024.2,São Paulo,Saúde
Drivesafe,http://drivesafebr.com.br,drivesafebr.com.br,2024.2,Paraíba,Automóveis
Dupeixe,http://www.dupeixe.com,dupeixe.com,2024.2,São Paulo,Pesca
Eco Sustenta Brasil,https://www.instagram.com/ecosustentabrasil?igsh=c2cxc3hlMDEwMHlj,instagram.com,2024.2,Bahia,Preservação Ambiental
e-Lainer,https://leadingpage.webflow.io/,leadingpage.webflow.io,2024.2,Santa Catarina,Educação
EmotionApp,https://www.instagram.com/emotionappbrasil/,instagram.com,2024.2,Ceará,Educação
EvoluMap Soluções Geoespaciais,https://www.instagram.com/evolumap,instagram.com,2024.2,Paraná,Tecnologias Sustentáveis e Verdes
eyllo,https://eyllo.com.br,eyllo.com.br,2024.2,Rio de Janeiro,Óleo e Gás
Firmeza Token,http://www.firmezatoken.com.br,firmezatoken.com.br,2024.2,Rio de Janeiro,Setor financeiro
FisioNext,http://www.fisionext.com.br,fisionext.com.br,2024.2,Rio Grande do Sul,Saúde
Forpy,https://forpy.com.br,forpy.com.br,2024.2,Bahia,Alimentício
Gaksa Marketing,https://gaksa.com.br,gaksa.com.br,2024.2,São Paulo,Marketing e Mídia
Game Levy,http://gamelevy.com.br,gamelevy.com.br,2024.2,Alagoas,Gestão Pública
Glace:lenço umedecido que diminui em -3ºC a sensação térmica,https://salutbio.com.br/inovacao,salutbio.com.br,2024.2,Bahia,Cosméticos
Go braids app / more ninety,http://Www.gobraids.com.br,gobraids.com.br,2024.2,Minas Gerais,Outros serviços
Harmonize Cosmética Natural e Vegana,http://www.harmonizecosmetica.com,harmonizecosmetica.com,2024.2,Rio de Janeiro,Cosméticos
Hoope Diagnostic,https://www.instagram.com/hoope.es?igsh=czY1NnhlMjQzYXNp,instagram.com,2024.2,Espírito Santo,Saúde
HRV4Life Saúde e Performance,https://hrv4life.com/site/,hrv4life.com,2024.2,Rio de Janeiro,Saúde
Ideation Partner,http://ideationpartner.com.br,ideationpartner.com.br,2024.2,São Paulo,N/A
iLace,http://ilace.com.br,ilace.com.br,2024.2,Minas Gerais,Comércio Eletrônico
Indique Aí - Programa de Indicação e Automação de Marketing,https://indiqueai.com.br,indiqueai.com.br,2024.2,Distrito Federal,Tecnologia da Informação e Comunicação
Informantia,https://informantia.perceptus.ai/,informantia.perceptus.ai,2024.2,São Paulo,Tecnologia da Informação e Comunicação
INMI,http://www.inmiead.com.br,inmiead.com.br,2024.2,Rio Grande do Sul,Educação
Inovabee,http://www.inovabeebrazil.com,inovabeebrazil.com,2024.2,Rio Grande do Sul,Agronegócio
IQuirium,https://iquirium.com.br/,iquirium.com.br,2024.2,Rio de Janeiro,Educação
Jon Mobilidade,http://jonmobilidade.com,jonmobilidade.com,2024.2,Sergipe,Mobilidade Urbana
K.Rose Cosméticos,https://www.instagram.com/k.rose_cosmetic/,instagram.com,2024.2,Sergipe,Cosméticos
Kenzo - Descobrindo Tesouros nos Dados(BTO),http://www.marcelofabiano.com.br/portifolio_solucoes_kenzo.html,marcelofabiano.com.br,2024.2,Rio de Janeiro,Automóveis
Kinma - Plataforma de Busca do Conhecimento Corporativo,http://kinma.com.br,kinma.com.br,2024.2,Goiás,Tecnologia da Informação e Comunicação
Labovitta Medicina Diagnóstica,https://instagram.com/labovitta?igshid=MzRlODBiNWFlZA==,instagram.com,2024.2,Distrito Federal,Saúde
LAMPAMAZON,https://instagram.com/lampamazon,instagram.com,2024.2,Amapá,Energia
Lezzes,https://instagram.com/lezzesapp,instagram.com,2024.2,Distrito Federal,Artes e Cultura
Linkeme,https://www.linkeme.app/,linkeme.app,2024.2,São Paulo,Varejo
Longevi360,http://longevi360.com.br/,longevi360.com.br,2024.2,Distrito Federal,Saúde
Lucro X,http://www.lucrox.com.br,lucrox.com.br,2024.2,Goiás,Outros serviços
Luxuryouz,http://www.luxuryouz.com.br,luxuryouz.com.br,2024.2,Amazonas,Comércio Eletrônico
MAEDUCA,https://maeduca.com/,maeduca.com,2024.2,Alagoas,Saúde
MAI,http://www.maipro.com.br,maipro.com.br,2024.2,Santa Catarina,Mercado Imobiliário
MEDLIBRAS,https://drive.google.com/drive/folders/19UmOtA5GzksChUILPTsunGlXRCX_50iX?usp=share_link,drive.google.com,2024.2,Paraná,Acessibilidade
Molde,https://moldeconsultoria.com.br/diagnosticos/,moldeconsultoria.com.br,2024.2,São Paulo,N/A
Mova movimento ambiental,https://fabricadesom.wixsite.com/mova,fabricadesom.wixsite.com,2024.2,Rondônia,Preservação Ambiental
Nano Insights,https://www.linkedin.com/company/nano-insights/,linkedin.com,2024.2,Pernambuco,Agronegócio
NOMIO,https://www.instagram.com/nomio.ai/,instagram.com,2024.2,Rio de Janeiro,Marketing e Mídia
Nunca Foi Velho,https://www.nuncafoivelho.com/,nuncafoivelho.com,2024.2,Espírito Santo,Vestuário
OffGluten,http://www.offgluten.com.br,offgluten.com.br,2024.2,Minas Gerais,Alimentício
passcloud,http://www.passcloud.com.br,passcloud.com.br,2024.2,Amazonas,Eventos
PG MARKETPLACE,http://www.pgmarketplace.com.br,pgmarketplace.com.br,2024.2,Espírito Santo,Outros serviços
PLATAFORMA DIDITAL JURISGAP BRASIL,http://www.jurisgapbrasil.com.br,jurisgapbrasil.com.br,2024.2,Bahia,Tecnologia da Informação e Comunicação
Plataforma Geo Bee,https://www.instagram.com/beeappam?igsh=d3Zrd3E1ZXZpaTQ4,instagram.com,2024.2,Maranhão,Agronegócio
Plataforma Recicla Aí - Biente,http://reciclaai.com,reciclaai.com,2024.2,Paraná,Preservação Ambiental
Portal da Eletromobilidade,http://www.portaldaeletromobilidade.com.br,portaldaeletromobilidade.com.br,2024.2,São Paulo,Mobilidade Urbana
PRISMA - Gestão Acadêmica,https://lvsistemas.com.br/,lvsistemas.com.br,2024.2,Goiás,Educação
Projeto Meu Crespinho - Alma Mater,http://www.amcosmeticos.com.br,amcosmeticos.com.br,2024.2,São Paulo,Cosméticos
Quality in Lab,http://qualityinlab.com.br,qualityinlab.com.br,2024.2,São Paulo,Agronegócio
QUICK AID K: UMA MEMBRANA HEMOSTÁTICA,https://www.instagram.com/quickaidk?utm_source=qr&igsh=MTU3ejBuNm1rNHhtcA==,instagram.com,2024.2,Sergipe,Saúde
Reciclo Social,https://reciclosocial.com.br/,reciclosocial.com.br,2024.2,São Paulo,Tecnologias Sustentáveis e Verdes
Repositor amazônico: Energia e hidratação,https://www.linkedin.com/company/103615487,linkedin.com,2024.2,Tocantins,Alimentos
Resolve Soluções em Serviços de Terceireização,https://sites.google.com/view/resolvesolues/home,sites.google.com,2024.2,São Paulo,Outros serviços
ReTrato,http://retrato.eco.br,retrato.eco.br,2024.2,Espírito Santo,Recursos naturais
Rolê Agora,http://www.roleagora.com.br,roleagora.com.br,2024.2,São Paulo,Tecnologia da Informação e Comunicação
ROS,http://www.pesquisasfarmaceuticas.com,pesquisasfarmaceuticas.com,2024.2,Goiás,Saúde
S.E.A. Startups Expert Academy,http://sea-academy.com.br,sea-academy.com.br,2024.2,São Paulo,Tecnologia da Informação e Comunicação
Sabl,https://www.sabl.online,sabl.online,2024.2,São Paulo,Educação
Safe on Orbit,http://safeonorbit.space,safeonorbit.space,2024.2,Distrito Federal,Aeronáutica e Espacial
ScienTV: Produção audiovisual e divulgação científica,https://www.scientv.com.br/,scientv.com.br,2024.2,Distrito Federal,Educação
Sentinela Web3,https://sentinelaweb3.com.br/,sentinelaweb3.com.br,2024.2,Mato Grosso,Setor financeiro
Seuddin,http://seuddin.com.br,seuddin.com.br,2024.2,Minas Gerais,Setor financeiro
Solo,https://cuidadosolo.singularidadeinfo.com.br/,cuidadosolo.singularidadeinfo.com.br,2024.2,Rio Grande do Sul,N/A
SpaceVR,https://www.spacevrgg.com.br/,spacevrgg.com.br,2024.2,Paraíba,Outros serviços
STARTHÁBIL,http://www.starthabil.com.br,starthabil.com.br,2024.2,Amazonas,Educação
TecnoBrain,https://www.instagram.com/tecnobrain_oficial?igsh=M2VxNTBjNm9oM2M2,instagram.com,2024.2,Piauí,Construção civil
Tocaí,http://tocai.app.br,tocai.app.br,2024.2,Goiás,Entretenimento e Games
Trip Amazon,https://www.instagram.com/trip_amazon?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw==,instagram.com,2024.2,Acre,Turismo e Hotelaria
Troddi,https://troddi.com.br/,troddi.com.br,2024.2,São Paulo,Eventos
TSTR,https://www.tstr.com.br,tstr.com.br,2024.2,Minas Gerais,Tecnologia da Informação e Comunicação
UNIVERSO ÁGIL,https://www.universoagilhub.com/,universoagilhub.com,2024.2,São Paulo,Educação
URITHI YEYE,https://urithiyeye.mailchimpsites.com/,urithiyeye.mailchimpsites.com,2024.2,Rio de Janeiro,Outros serviços
VALIDARCROWD,https://linktr.ee/validarcrowd,linktr.ee,2024.2,N/A,Educação
VANKKA Tecnologia em Soluções Ambientais Ltda,https://vankka.com.br/,vankka.com.br,2024.2,Paraná,Agronegócio
Vê de Verdade,http://www.vedeverdade.com.br,vedeverdade.com.br,2024.2,São Paulo,Saúde
Vibecem,https://vibecem.com.br/,vibecem.com.br,2024.2,Pernambuco,Telecomunicações
Vibra Instituto Ltda,http://www.vibrainstituto.com.br,vibrainstituto.com.br,2024.2,Maranhão,N/A
Vibz,https://www.vibz.com.br,vibz.com.br,2024.2,Espírito Santo,N/A
Vinho de Kefir,http://www.boticaofir.com.br,boticaofir.com.br,2024.2,São Paulo,Varejo
Você.Inova,http://www.voceinova.com,voceinova.com,2024.2,Sergipe,Educação
Voy longe,https://www.instagram.com/melia.br/,instagram.com,2024.2,Rio Grande do Sul,Turismo e Hotelaria
VRtour°,https://vrtour360.com.br/,vrtour360.com.br,2024.2,Espírito Santo,Turismo e Hotelaria
Wealthy,https://www.instagram.com/wealthy.group?igsh=MTlvNHA3bG51djczdQ%3D%3D&utm_source=qr,instagram.com,2024.2,Rio Grande do Sul,Setor financeiro
WSaúde,https://wsaudebr.com.br,wsaudebr.com.br,2024.2,Alagoas,Saúde
XTR - Multiplique Tempo e Resultados,https://www.xtrbrasil.com.br,xtrbrasil.com.br,2024.2,Bahia,Outros serviços
YaMed - Saúde Digital,https://www.yamed.com.br/,yamed.com.br,2024.2,Paraná,Saúde
Young Market,http://www.youngmarket.net,youngmarket.net,2024.2,Rio Grande do Sul,Esportes e Recreação
Zandir,https://zandir.com.br,zandir.com.br,2024.2,Paraíba,Setor financeiro
Abraço,http://abraco.app.br,abraco.app.br,2024.2,Sergipe,Saúde
academia dos campeões,https://www.academiadoscampeoes.com.br,academiadoscampeoes.com.br,2024.2,Rio Grande do Sul,Educação
Achei Amazônia,https://acheiamazonia.com/,acheiamazonia.com,2024.2,Pará,Comércio Eletrônico
AgroESGP,http://www.AgroESGP.com,agroesgp.com,2024.2,Minas Gerais,Agronegócio
Almerindas - mulheres conectando as pessoas ao saneamento,https://www.linkedin.com/company/almerindas/?viewAsMember=true,linkedin.com,2024.2,Pernambuco,Saneamento
Arte da Rua,http://www.nearcomm.com.br,nearcomm.com.br,2024.2,São Paulo,Artes e Cultura
Aruanas,https://www.instagram.com/__aruanas?igsh=MW9qOTJvb2w2bXVuOA==,instagram.com,2024.2,Pará,Alimentos
Atualogic,http://www.atualogic.com,atualogic.com,2024.2,Paraná,Tecnologias Sustentáveis e Verdes
AUREA APIS,https://felipefgqr.wixsite.com/aureaapis,felipefgqr.wixsite.com,2024.2,Minas Gerais,N/A
BeFert Fertilizantes,http://www.befert.org,befert.org,2024.2,Minas Gerais,Agronegócio
Bioseller Amazonia,http://www.bioseller.com.br,bioseller.com.br,2024.2,Pará,Tecnologia da Informação e Comunicação
BioStrepto,https://www.instagram.com/biostrepto/,instagram.com,2024.2,Pará,Indústria Química
Bruaca Negócios Socioambientais,https://bruaca.com.br/,bruaca.com.br,2024.2,Mato Grosso do Sul,Artes e Cultura
Captse,https://conectividade.tech/captse-prototipo,conectividade.tech,2024.2,São Paulo,Setor financeiro
Comunidade Mães de Negócios,https://www.instagram.com/p/C0pF6fIAedP/?igsh=MXRyMjc3Ym1kZGdjaQ==,instagram.com,2024.2,Santa Catarina,Recursos Humanos
Cooperativa - Plataforma Salve Orixás - Educação patrimonial,https://www.youtube.com/@festivalsalveorixas,youtube.com,2024.2,Minas Gerais,Artes e Cultura
Cuia Tech,http://www.cuia.tech,cuia.tech,2024.2,Paraíba,Tecnologia da Informação e Comunicação
ECOMARIUA TURISMO LTDA,https://ecomariua.com.br/,ecomariua.com.br,2024.2,Amazonas,Turismo e Hotelaria
Escali | escolhas alimentares inteligentes,http://www.escali.com.br,escali.com.br,2024.2,São Paulo,Educação
Facilita,https://facilitaenem.com.br/,facilitaenem.com.br,2024.2,Rio Grande do Norte,Educação
